Seeds and Diffraction Patterns Group 1
Seeds:
[26.54643223 18.6424431   2.90449786] [32.28837533 25.90318335 -0.32724422] [38.38377972 18.43676722  2.02693584] [20.60580973 37.42305626  1.34469868] [0. 0. 0.]
Diffraction Patterns:
38 26 0.031073971599174965
26 36 0.029781711456878714
26 39 0.026597033825643705
24 31 0.02652994213617198
33 41 0.024976551787086073
40 30 0.022833819823564458
44 61 0.020111897590833365
21 1 0.019219223844642433
29 22 0.018836110848455913
45 58 0.017563055589402413
41 36 0.017000669490688278
41 27 0.016945238856629165
25 41 0.016125999927313964
42 30 0.015099348134319101
15 18 0.014687794745950923
47 51 0.014330774310707997
23 39 0.014234677664512934
52 36 0.014229851742428103
49 43 0.012819178993924466
22 41 0.012772198463242176
41 23 0.011941868881982542
43 27 0.011914172639651647
34 45 0.011547892753179372
28 18 0.011245666413542113
40 20 0.011141707154372604
41 18 0.010957768737097012
24 23 0.010894655911702055
23 47 0.0102138211168238
4 50 0.009991556693315123
59 18 0.00992406828305286
44 24 0.009135880394641615
35 49 0.008343041575795351
22 49 0.008170407452536272
44 18 0.0065134965501960395
32 57 0.00573630757323644
48 23 0.005649504637129423
19 49 0.005583058265268927
31 53 0.00558177710622909
31 10 0.005537171400633542
34 59 0.0054120623470357634
21 52 0.005396516525892096
26 10 0.004642595151762463
47 8 0.004604692101497035
12 44 0.00445449192587229
55 51 0.004337060413106069
15 45 0.004194496213958004
39 59 0.003885785617386876
16 52 0.0036974031453779576
53 61 0.003369554027968415

Seeds and Diffraction Patterns Group 4
Seeds:
[35.71704193 39.21328565 -1.53958422] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32 32 1.0
28 32 0.07815310535027
32 28 0.07815310535027
32 36 0.07815310535027
36 32 0.07815310535027
32 24 0.02106391982330462
32 40 0.02106391982330462
24 32 0.02106391982330459
40 32 0.02106391982330459
41 24 0.00912378111719614
23 24 0.00912378111719614
40 23 0.00912378111719614
24 23 0.00912378111719614
47 11 0.002904641347202244
17 11 0.002904641347202244
47 53 0.002904641347202242
17 53 0.002904641347202242
53 47 0.0029046413472022404
53 17 0.0029046413472022404
11 47 0.00290464134720224
11 17 0.0029046413472022395

Seeds and Diffraction Patterns Group 5
Seeds:
[28.5281151  17.3753785  -0.90492807] [41.63406035 40.20225501 -0.10903108] [32.76325179 16.49238734 -1.95907978] [31.3375424  34.18342146  2.52494801] [0. 0. 0.]
Diffraction Patterns:
30 31 1.0
33 34 0.6230546336222621
34 31 0.5595482375928881
30 36 0.17641210066260193
28 25 0.15079158365994835
24 31 0.14341751060047592
21 31 0.11712080936378284
26 22 0.11502298527603287
44 33 0.09163191522379736
23 17 0.08061692086678406
25 28 0.08052248242549864
41 47 0.07945501305995699
27 35 0.0786636966501391
17 30 0.07496461038648788
20 12 0.06171120570699969
31 41 0.05940934935338899
44 52 0.05751176286935168
37 24 0.054833394703303624
3 28 0.04917030292764741
46 56 0.04879226551264911
18 8 0.047137248362459354
52 35 0.045214033116138516
16 5 0.04245278961300009
50 62 0.0406073803978463
62 36 0.04044534245640012
29 43 0.03916271690149883
34 21 0.03907656210992251
58 35 0.03858488116012021
7 36 0.03847274142419892
7 33 0.03654663498856624
51 30 0.036530557222110134
40 24 0.03647553241951956
9 39 0.036216703471228635
52 2 0.03512152752189845
35 18 0.03481719579137993
17 40 0.03436940999765917
22 23 0.03297939741955424
62 18 0.032631552186198946
47 24 0.03201704268842193
14 2 0.03199130542856069
20 40 0.030853263341641676
19 18 0.030576439154071756
54 5 0.030184691031894886
40 39 0.030024683804224645
56 25 0.02938819675101532
3 46 0.02936385767238356
57 38 0.02934361278216095
28 51 0.028748874310250982
21 34 0.02872343378705583
5 50 0.028671864991560905
31 49 0.028473813915327287
21 37 0.028153909267389348
26 44 0.02733413822741573
25 37 0.026527898229843742
13 40 0.025384993603358212
10 33 0.024862414645632235
22 61 0.02435268622037955
5 39 0.024070330724427703
38 16 0.02391849794964251
25 1 0.02251634488286202
15 22 0.022234068997019706
11 43 0.022225331029184982
52 23 0.021882112608515976
34 55 0.02154999097834449
50 56 0.021302315459608305
17 15 0.021092475538443633
31 53 0.020827774515779676
33 12 0.020578365114125488
5 24 0.02055860968145688
10 22 0.02044682802909717
13 18 0.02033393486305316
62 31 0.019944959160971443
46 40 0.01983033249374101
42 3 0.01939826451561805
18 22 0.019261125492031413
45 10 0.019053776352135718
19 55 0.01874337552879804
8 18 0.018370831888657947
47 49 0.018366647898652787
1 18 0.018107209343636094
33 47 0.018105159614408974
27 7 0.017967425807981503
57 46 0.016788893961051564
45 46 0.016574663580545518
53 60 0.01653967781593895
59 60 0.01636746716838222
50 19 0.016354332243798047
25 48 0.016293799918545182
41 10 0.016140101339163708
43 14 0.01594273470071331
11 25 0.015256499788248222
53 50 0.015205136387238504
7 15 0.015203848058478879
6 60 0.01508032164096263
47 20 0.01496093900651597
8 8 0.014887294677420886
20 58 0.014447527124184255
16 45 0.013784134557192702
1 50 0.013675801486974492
4 18 0.013154408135188042
51 15 0.013075424155979946
36 61 0.012907027904055717
11 9 0.012698516222309773
40 53 0.012271072057470677
33 7 0.012220954107289544
53 56 0.012071115627085592
58 5 0.011800410190700715
28 59 0.011797639234468466
23 54 0.011264537794777908
40 60 0.01115192321155996
38 51 0.010491608937541466
28 17 0.010427083642799725
60 8 0.009931138296678991
56 60 0.008906134489830232
35 5 0.007383022446999248

Seeds and Diffraction Patterns Group 6
Seeds:
[24.93718982 32.2856165   1.96949231] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32 32 1.0
32 28 0.07815310535027001
32 36 0.07815310535027001
28 32 0.07815310535027
36 32 0.07815310535027
32 24 0.021063919823304626
32 40 0.021063919823304626
24 32 0.021063919823304623
40 32 0.021063919823304623
53 17 0.002904641347202245
11 17 0.002904641347202244
53 47 0.0029046413472022404
11 47 0.0029046413472022395
17 11 0.0029046413472022387
47 11 0.0029046413472022387
47 53 0.002904641347202238
17 53 0.002904641347202238

Seeds and Diffraction Patterns Group 7
Seeds:
[34.76690489 42.4064175  -1.75953461] [43.20813703 41.41716262 -0.88798664] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32 32 1.0
32 36 0.15540638478635543
33 27 0.10552849807182972
28 33 0.0840067769070935
31 40 0.054959028346657654
31 42 0.04918847248621181
33 24 0.04729851734966172
33 21 0.04002101530540633
26 33 0.039420324013817766
28 37 0.039059862531282144
30 48 0.029149013180369034
29 25 0.02907397862175181
25 29 0.028282234416533072
40 32 0.025731134464777372
34 15 0.025092158020620082
39 29 0.024599729725931385
30 51 0.01956830566999795
29 60 0.01653482068230208
35 6 0.016401324939751903
34 44 0.01379871417297092
36 58 0.012767908736344298
27 43 0.012663998856287842
27 17 0.012502721354356561
27 11 0.011268802564269596
28 21 0.011173722838797568
21 37 0.010363162009121754
41 22 0.00982254252490025
19 27 0.008676401927289008
37 17 0.008331596742780896
21 41 0.007973442413195864
30 16 0.0074531990925085796
40 16 0.006692430940920073
18 40 0.006672689390951818
43 62 0.0061102379785648725
33 56 0.005653423498401021
23 17 0.0054687418434400045
38 11 0.00534581253638526
32 62 0.005087177323913525
55 21 0.004946456462162785
20 11 0.00460884779597824
18 44 0.004602879871647358
15 22 0.0037435216881076144
17 11 0.003407856598735985

Seeds and Diffraction Patterns Group 8
Seeds:
[38.66965405 33.32761241 -1.71993481] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32 32 1.0
32 28 0.07815310535027
32 36 0.07815310535027
28 32 0.07815310535026998
36 32 0.07815310535026998
24 32 0.021063919823304668
40 32 0.021063919823304668
32 40 0.021063919823304623
32 24 0.021063919823304623
24 41 0.009123781117196141
23 40 0.009123781117196141
40 41 0.009123781117196141
41 40 0.009123781117196141
53 17 0.0029046413472022478
11 17 0.0029046413472022478
11 47 0.002904641347202247
53 47 0.002904641347202247
47 53 0.0029046413472022434
17 53 0.0029046413472022434
47 11 0.0029046413472022395
17 11 0.0029046413472022395

Seeds and Diffraction Patterns Group 9
Seeds:
[23.7133892  26.73624865 -3.08943348] [37.99272864 24.2114553  -1.0976177 ] [0. 0. 0.] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
32 33 1.0
32 29 0.4740953457105029
31 38 0.1879341394352824
33 25 0.16178937863283527
28 34 0.10693414805825736
30 42 0.10526469201483978
34 21 0.0980882692307886
36 29 0.08236747273902767
29 28 0.08154461669289637
35 17 0.06749856986378326
29 50 0.05641090149885658
35 13 0.05302899900552699
26 34 0.051529774799976925
37 36 0.04862022198208909
28 54 0.04579939814182728
36 9 0.04489439518898585
38 28 0.04043033012856948
37 5 0.03663170560438769
34 40 0.03601934885752366
27 62 0.03283578092678508
30 23 0.03276958130609755
37 1 0.03136519673352873
27 39 0.030650028280746148
38 61 0.02913844311049048
37 24 0.02780087470120519
22 23 0.027059525904074747
39 56 0.02531226657942356
41 46 0.025039316662924853
39 37 0.02405072876958386
40 51 0.023812336623295814
24 12 0.023490513322994108
25 40 0.019961516420739085
31 19 0.019413495260196867
23 41 0.017381349697315716
39 23 0.017371130067864577
36 42 0.017080399343516954
20 40 0.0170597731381305
41 22 0.015219122403620722
17 54 0.013028170793565153
16 58 0.012797169787208676
48 5 0.012784496247669695
22 45 0.011678299746691375
42 18 0.011124440717356238
29 17 0.01034024154118291
38 16 0.010277560661521872
24 44 0.010150844775053973
13 10 0.010134361813064482
40 19 0.010041976223062405
51 53 0.009846869086521791
7 49 0.009712464822783578
32 11 0.00957192909115269
33 7 0.009496263616145447
15 23 0.009347543184282858
43 14 0.009188757434007903
30 61 0.008882150467077136
17 24 0.007841538097006452
47 54 0.0077880716329440615
28 9 0.007580571760062806
29 5 0.007280272697393206
20 58 0.0069255134153390395
21 1 0.005939925395655002
42 7 0.00512438677658514
44 58 0.004463564032031671

Seeds and Diffraction Patterns Group 10
Seeds:
[28.57310659 34.49696708 -2.80555571] [34.49042842 43.88342566  1.03406406] [22.23607464 34.04721803 -1.1149557 ] [0. 0. 0.] [0. 0. 0.]
Diffraction Patterns:
31 31 1.0
34 32 0.574762297706853
25 27 0.13892497942922472
41 38 0.11328255410782159
31 24 0.11134271665282325
31 21 0.09248296459644735
33 42 0.08534980053579878
28 35 0.08483433344663115
20 24 0.07951059714193894
33 44 0.07718438456288526
28 26 0.07413556695050395
39 32 0.0676559333098598
33 50 0.055810456034660255
13 20 0.05260304010759655
31 15 0.052275311035033904
30 7 0.05018939468322015
37 39 0.049211036813183916
30 12 0.04613621574276927
8 17 0.04233741772557168
60 50 0.03811458645395007
24 34 0.03795867955826612
5 15 0.03660086215982451
26 39 0.03652340531665569
41 31 0.03620536013376983
26 5 0.03174288799862467
37 23 0.031561701550141895
27 42 0.030712776277938197
27 20 0.03008353565284095
35 1 0.029384563541614245
23 22 0.02892732186605677
4 55 0.028603983704498466
28 23 0.028586754473322446
43 32 0.028080818698855377
27 17 0.027555227855323983
29 54 0.027224570009097407
11 60 0.026990249491372326
29 58 0.025748567412684904
7 57 0.024758514450394488
36 42 0.024499980655381042
24 43 0.024308081720688435
39 13 0.02402074248039217
42 43 0.023778871414700576
35 7 0.023108587038773623
43 62 0.02305968922863
26 11 0.022843594266135556
37 48 0.022245700358394505
22 36 0.022052750421613747
37 46 0.021606462454229338
46 37 0.01936070075153659
22 3 0.018922705332896136
19 28 0.01857675219127133
37 52 0.018214339211407058
27 14 0.017756030570239112
24 40 0.016030967913172618
13 15 0.015873914763946263
39 3 0.015487294831922616
1 30 0.015311473410877702
38 19 0.015231566600908637
9 34 0.01520440086856757
42 45 0.014705890384079856
18 35 0.014543653298904334
4 32 0.014425959469047
5 37 0.014414405152142205
38 55 0.014313772181713957
46 34 0.01409119090057055
16 17 0.014032450600137502
25 55 0.014000841164082956
18 47 0.013968277774158395
45 45 0.013738496012041253
20 54 0.01267400783147001
43 51 0.012603877264639669
8 39 0.012594677382164333
22 14 0.012564798835641749
48 59 0.012557198671366255
55 34 0.01218068122921426
14 26 0.01177011881794287
50 39 0.011515702397869785
51 61 0.011495434763396989
43 20 0.011087836512132425
60 43 0.010920715281221063
15 3 0.010736984139769683
26 2 0.010736428535573515
58 2 0.010589343402044525
12 37 0.010378922205729245
20 12 0.010191900354514826
18 6 0.009602643802859323
11 53 0.00937751149281206
54 12 0.009319330418851749
15 9 0.009213332246232912
61 62 0.009191662750782212
51 25 0.008963372211707427
53 9 0.008939974125982459
55 1 0.008730926762800913
59 15 0.008445459411991532
5 22 0.008286827675918393
43 2 0.006970476170083128
16 12 0.005414370075924859

