full_dp Group 1
17.000000 2.000000 0.388381
18.000000 2.000000 0.347177
19.000000 2.000000 0.271881
20.000000 2.000000 0.160386
21.000000 2.000000 0.136937
22.000000 2.000000 0.173744
23.000000 2.000000 0.175596
24.000000 2.000000 0.150779
25.000000 2.000000 0.131910
26.000000 2.000000 0.103503
27.000000 2.000000 0.112606
28.000000 2.000000 0.190572
29.000000 2.000000 0.214353
30.000000 2.000000 0.202139
31.000000 2.000000 0.186013
0.000000 3.000000 0.165450
1.000000 3.000000 0.181663
2.000000 3.000000 0.201237
3.000000 3.000000 0.196591
4.000000 3.000000 0.168945
5.000000 3.000000 0.178118
6.000000 3.000000 0.180821
7.000000 3.000000 0.136735
8.000000 3.000000 0.151451
9.000000 3.000000 0.200000
10.000000 3.000000 0.218495
11.000000 3.000000 0.173565
12.000000 3.000000 0.165634
13.000000 3.000000 0.326353
14.000000 3.000000 0.424105
15.000000 3.000000 0.468204
16.000000 3.000000 0.464307
17.000000 3.000000 0.418793
18.000000 3.000000 0.331153
19.000000 3.000000 0.206406
20.000000 3.000000 0.143226
21.000000 3.000000 0.110706
22.000000 3.000000 0.119425
23.000000 3.000000 0.156963
24.000000 3.000000 0.110757
25.000000 3.000000 0.094501
26.000000 3.000000 0.147353
27.000000 3.000000 0.140282
28.000000 3.000000 0.101709
29.000000 3.000000 0.167019
30.000000 3.000000 0.191083
31.000000 3.000000 0.175406
0.000000 4.000000 0.140712
1.000000 4.000000 0.120680
2.000000 4.000000 0.116849
3.000000 4.000000 0.164062
4.000000 4.000000 0.166477
5.000000 4.000000 0.141284
6.000000 4.000000 0.075541
7.000000 4.000000 0.156723
8.000000 4.000000 0.193120
9.000000 4.000000 0.218751
10.000000 4.000000 0.254184
11.000000 4.000000 0.230712
12.000000 4.000000 0.198318
13.000000 4.000000 0.314358
14.000000 4.000000 0.390113
15.000000 4.000000 0.419263
16.000000 4.000000 0.411513
17.000000 4.000000 0.359187
18.000000 4.000000 0.242608
19.000000 4.000000 0.136159
20.000000 4.000000 0.196473
21.000000 4.000000 0.115705
22.000000 4.000000 0.156901
23.000000 4.000000 0.203643
24.000000 4.000000 0.188225
25.000000 4.000000 0.128580
26.000000 4.000000 0.166670
27.000000 4.000000 0.203782
28.000000 4.000000 0.155581
29.000000 4.000000 0.100638
30.000000 4.000000 0.150936
31.000000 4.000000 0.132453
0.000000 5.000000 0.154553
1.000000 5.000000 0.160298
2.000000 5.000000 0.166483
3.000000 5.000000 0.210887
4.000000 5.000000 0.210952
5.000000 5.000000 0.150996
6.000000 5.000000 0.185964
7.000000 5.000000 0.249520
8.000000 5.000000 0.244965
9.000000 5.000000 0.224118
10.000000 5.000000 0.258900
11.000000 5.000000 0.257579
12.000000 5.000000 0.253731
13.000000 5.000000 0.280395
14.000000 5.000000 0.281277
15.000000 5.000000 0.289895
16.000000 5.000000 0.304215
17.000000 5.000000 0.263163
18.000000 5.000000 0.128978
19.000000 5.000000 0.176969
20.000000 5.000000 0.185963
21.000000 5.000000 0.108634
22.000000 5.000000 0.153012
23.000000 5.000000 0.184696
24.000000 5.000000 0.208762
25.000000 5.000000 0.174880
26.000000 5.000000 0.120101
27.000000 5.000000 0.181342
28.000000 5.000000 0.171103
29.000000 5.000000 0.129876
30.000000 5.000000 0.103528
31.000000 5.000000 0.098454
0.000000 6.000000 0.170140
1.000000 6.000000 0.203376
2.000000 6.000000 0.232117
3.000000 6.000000 0.260026
4.000000 6.000000 0.246994
5.000000 6.000000 0.160761
6.000000 6.000000 0.243028
7.000000 6.000000 0.302308
8.000000 6.000000 0.267665
9.000000 6.000000 0.180060
10.000000 6.000000 0.229003
11.000000 6.000000 0.257609
12.000000 6.000000 0.260783
13.000000 6.000000 0.214916
14.000000 6.000000 0.104011
15.000000 6.000000 0.247759
16.000000 6.000000 0.255969
17.000000 6.000000 0.146236
18.000000 6.000000 0.165416
19.000000 6.000000 0.190822
20.000000 6.000000 0.095208
21.000000 6.000000 0.183932
